SaleID,DrugID,CustomerID,UnitsSold,SaleDate,BuyerType
1,35,72,6,01-01-2020,User
2,3,186,9,02-01-2020,User
3,29,60,51,03-01-2020,Seller
4,25,129,1,04-01-2020,User
5,29,174,65,05-01-2020,Seller
6,12,99,69,06-01-2020,Seller
7,13,38,62,07-01-2020,Seller
8,31,86,37,08-01-2020,Seller
9,11,188,9,09-01-2020,User
10,36,84,95,10-01-2020,Seller
11,23,168,6,11-01-2020,User
12,17,102,80,12-01-2020,Seller
13,31,88,86,13-01-2020,Seller
14,6,104,8,14-01-2020,User
15,3,142,4,15-01-2020,User
16,10,92,9,16-01-2020,User
17,4,163,84,17-01-2020,Seller
18,31,92,37,18-01-2020,Seller
19,11,127,67,19-01-2020,Seller
20,17,86,2,20-01-2020,User
21,36,116,98,21-01-2020,Seller
22,19,28,2,22-01-2020,User
23,8,130,56,23-01-2020,Seller
24,14,177,5,24-01-2020,User
25,21,129,18,25-01-2020,Seller
26,28,23,19,26-01-2020,Seller
27,4,5,4,27-01-2020,User
28,30,88,11,28-01-2020,Seller
29,26,123,48,29-01-2020,Seller
30,29,26,5,30-01-2020,User
31,17,52,55,31-01-2020,Seller
32,23,43,6,01-02-2020,User
33,9,107,1,02-02-2020,User
34,36,109,68,03-02-2020,Seller
35,32,88,80,04-02-2020,Seller
36,32,192,7,05-02-2020,User
37,19,160,8,06-02-2020,User
38,33,183,27,07-02-2020,Seller
39,17,7,21,08-02-2020,Seller
40,10,7,27,09-02-2020,Seller
41,34,188,6,10-02-2020,User
42,15,48,3,11-02-2020,User
43,13,84,2,12-02-2020,User
44,32,115,83,13-02-2020,Seller
45,2,196,2,14-02-2020,User
46,34,38,46,15-02-2020,Seller
47,28,90,42,16-02-2020,Seller
48,32,186,13,17-02-2020,Seller
49,8,178,86,18-02-2020,Seller
50,13,101,6,19-02-2020,User
51,25,114,47,20-02-2020,Seller
52,12,4,5,21-02-2020,User
53,16,88,8,22-02-2020,User
54,18,112,71,23-02-2020,Seller
55,19,90,6,24-02-2020,User
56,31,31,2,25-02-2020,User
57,4,47,28,26-02-2020,Seller
58,30,160,3,27-02-2020,User
59,1,171,91,28-02-2020,Seller
60,27,121,43,29-02-2020,Seller
61,33,125,20,01-03-2020,Seller
62,14,24,2,02-03-2020,User
63,36,116,19,03-03-2020,Seller
64,31,131,5,04-03-2020,User
65,37,56,9,05-03-2020,User
66,18,36,3,06-03-2020,User
67,19,138,6,07-03-2020,User
68,35,80,81,08-03-2020,Seller
69,15,120,27,09-03-2020,Seller
70,19,20,8,10-03-2020,User
71,11,138,1,11-03-2020,User
72,38,41,27,12-03-2020,Seller
73,8,196,7,13-03-2020,User
74,25,122,82,14-03-2020,Seller
75,6,151,68,15-03-2020,Seller
76,4,125,8,16-03-2020,User
77,20,106,8,17-03-2020,User
78,28,127,44,18-03-2020,Seller
79,34,8,78,19-03-2020,Seller
80,37,27,3,20-03-2020,User
81,5,195,35,21-03-2020,Seller
82,8,199,7,22-03-2020,User
83,23,51,20,23-03-2020,Seller
84,28,3,29,24-03-2020,Seller
85,39,35,5,25-03-2020,User
86,9,65,63,26-03-2020,Seller
87,28,199,7,27-03-2020,User
88,13,172,45,28-03-2020,Seller
89,25,119,8,29-03-2020,User
90,40,152,9,30-03-2020,User
91,22,169,5,31-03-2020,User
92,27,196,2,01-04-2020,User
93,4,85,38,02-04-2020,Seller
94,18,165,54,03-04-2020,Seller
95,2,158,56,04-04-2020,Seller
96,9,19,19,05-04-2020,Seller
97,36,127,97,06-04-2020,Seller
98,23,195,45,07-04-2020,Seller
99,8,181,28,08-04-2020,Seller
100,10,91,88,09-04-2020,Seller
101,34,177,30,10-04-2020,Seller
102,35,53,46,11-04-2020,Seller
103,35,180,82,12-04-2020,Seller
104,27,139,23,13-04-2020,Seller
105,27,23,31,14-04-2020,Seller
106,29,57,69,15-04-2020,Seller
107,22,77,71,16-04-2020,Seller
108,27,157,1,17-04-2020,User
